https://meteostat.net/de/;;;;;;;;;;
date;tavg;tmin;tmax;prcp;snow;wdir;wspd;wpgt;pres;tsun
29.06.2021;23,1;18,1;28,6;2,8;0;172,3;10,1;27,8;1010,9;191
30.06.2021;17,8;16,3;19,5;33,5;0;277,7;12,4;38,9;1008;0
01.07.2021;16;15,2;17,2;40,7;0;255,4;17,8;38,9;1009,6;0
02.07.2021;18,2;15;21,8;0;0;276,7;13,3;35,2;1014,3;486
03.07.2021;18,3;14;22,1;0;0;292,5;11,4;29,6;1015,2;594
04.07.2021;20,5;14,3;25,9;0;0;101,6;6,6;22,2;1011,5;634
05.07.2021;19,6;16,8;22,3;1,2;0;211,6;9,3;25,9;1009,6;419
06.07.2021;22,1;15,7;28,5;0,6;0;185,8;12,3;33,3;1009,9;564
07.07.2021;18,9;17,1;21,5;21;0;248,4;7,4;18,5;1016,2;231
08.07.2021;18,9;14,9;22,1;1;0;83,1;10;25,9;1020,5;137
09.07.2021;17,9;16,1;19,1;12,8;0;341,8;15,6;40,8;1016,7;8
10.07.2021;18,7;15,3;23,3;8,4;0;260,3;15,4;40,8;1016,1;518
11.07.2021;21,3;15,2;26,7;0;0;105,9;11,8;29,6;1016,4;690
12.07.2021;21,6;18;25,6;0;0;102,8;12;29,6;1013,4;362
13.07.2021;23,3;16,6;29,2;0;0;99,2;12,3;31,5;1009,1;693
14.07.2021;23;20,3;26,3;0;0;146,8;11;29,6;1008,1;215
15.07.2021;21,3;17;25,6;0;0;293,3;8,2;22,2;1012,2;403
16.07.2021;22,4;17,5;26,9;1,5;0;298,6;9,5;29,6;1015,9;480
17.07.2021;22,3;19,6;25,4;1,2;0;336,7;14,1;35,2;1018,2;372
18.07.2021;20,8;15,5;25,7;0;0;319,8;14,8;35,2;1018,6;757
19.07.2021;17,4;14,9;19,7;0;0;315,1;12,6;31,5;1018,8;124
20.07.2021;16,5;12,1;20,2;0;0;294,3;10,6;27,8;1019;225
21.07.2021;17,5;13,3;21,5;0;0;289,4;10,9;25,9;1021,5;113
22.07.2021;18,9;14,8;22,7;0;0;275,7;7,8;24,1;1021,2;92
23.07.2021;19,4;14,2;24;0;0;278,5;7,2;22,2;1017,3;567
24.07.2021;22,1;14,5;28,9;0;0;98,3;12,3;31,5;1013;659
25.07.2021;23,3;19;28,5;3;0;116,8;13,2;31,5;1009,9;399
26.07.2021;23,2;18,6;28,3;0;0;181;8,7;25,9;1010,3;338
27.07.2021;22,1;18,7;25,7;0;0;239;10,8;31,5;1011,8;647
28.07.2021;20,8;17,5;24,5;0;0;226;11,6;33,3;1011;304
29.07.2021;19,6;16,6;22,8;0;0;238,2;16,7;46,3;1010,5;424
30.07.2021;19,1;13,1;24,6;0;0;236,2;13,9;40,8;1009,1;798
31.07.2021;19,8;16,2;23,2;0;0;235,8;17,1;53,7;1006,1;445
